date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:20:10	113798/113798	---M-Z	200	added ('OK')	text/html	etag:%22689a4713-5756%22	https://www.walleniuswilhelmsen.com/	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/index.html	(from )
20:20:11	98/98	---MC-	200	added ('OK')	text/plain	date:Mon,%2011%20Aug%202025%2020:20:08%20GMT	https://www.walleniuswilhelmsen.com/robots.txt		(from )
20:20:11	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2011%20Aug%202025%2020:20:12%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/wwt/www.googletagmanager.com/gtm.05445.delayed	(from https://www.walleniuswilhelmsen.com/)
20:20:12	319331/319331	---M-Z	200	added ('OK')	text/css	etag:%22686cdc20-a0bc%22	https://www.walleniuswilhelmsen.com/build/app.7801402a.css	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/app.7801402a.css	(from https://www.walleniuswilhelmsen.com/)
20:20:12	34956/34956	---M-Z	200	added ('OK')	text/css	etag:%22686cdc20-b4b%22	https://www.walleniuswilhelmsen.com/build/loading-effects.ae56051a.css	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/loading-effects.ae56051a.css	(from https://www.walleniuswilhelmsen.com/)
20:20:13	1505/1505	---M-Z	200	added ('OK')	application/javascript	etag:%22686cdc20-2dc%22	https://www.walleniuswilhelmsen.com/build/runtime.420770e4.js	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/runtime.420770e4.js	(from https://www.walleniuswilhelmsen.com/)
20:20:14	9443/9443	---M-Z	200	added ('OK')	application/javascript	etag:%22686cdc20-fe3%22	https://www.walleniuswilhelmsen.com/build/lazysizes.a8461ea9.js	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/lazysizes.a8461ea9.js	(from https://www.walleniuswilhelmsen.com/)
20:20:18	3541/3541	---M--	200	added ('OK')	image/png	etag:%225eb1075c-dd5%22	https://www.walleniuswilhelmsen.com/sites/default/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/sites/default/favicon/apple-touch-icon.png	(from https://www.walleniuswilhelmsen.com/)
20:20:19	1503/1503	---M--	200	added ('OK')	image/png	etag:%225eb1075c-5df%22	https://www.walleniuswilhelmsen.com/sites/default/favicon/favicon-32x32.png	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/sites/default/favicon/favicon-32x32.png	(from https://www.walleniuswilhelmsen.com/)
20:20:19	947/947	---M--	200	added ('OK')	image/png	etag:%225eb1075c-3b3%22	https://www.walleniuswilhelmsen.com/sites/default/favicon/favicon-16x16.png	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/sites/default/favicon/favicon-16x16.png	(from https://www.walleniuswilhelmsen.com/)
